Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	17.094081
1	Clockticks	553741344599
1	Instructions Retired	428736000000
1	CPI Rate	1.291567
1	Bottlenecks View (preview)	
2	Compute Bound Estimation	7.0
2	Branching Overhead	5.3
1	Top-down Microarchitecture Analysis (TMA)	
2	Retiring	44.1
3	Light Operations	40.5
4	FP Arithmetic	0.6
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.6
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
6	512-bit FP Vector	0.5
4	Integer Operations	3.2
5	128-bit Integer Vector Operations	3.2
5	256-bit Vector Operations	0.0
4	Memory Operations	16.8
4	Fused Instructions	2.2
4	Non Fused Branches	1.7
4	Other	16.0
5	Nop Instructions	0.1
5	Shuffles_256b	0.1
3	Heavy Operations	3.5
2	Front-End Bound	18.2
3	Front-End Latency	10.8
4	ICache Misses	1.0
4	ITLB Misses	0.4
4	Length Changing Prefixes	0.0
4	DSB Switches	3.4
3	Front-End Bandwidth	7.4
4	Front-End Bandwidth MITE	9.8
5	Decoder-0 Alone	1.2
4	Front-End Bandwidth DSB	5.0
4	(Info) DSB Coverage	57.5
2	Bad Speculation	16.1
3	Branch Mispredict	10.3
4	Other Mispredicts	1.0
3	Machine Clears	5.9
4	Other Nukes	5.9
2	Back-End Bound	21.6
3	Memory Bound	9.3
4	L1 Bound	5.8
5	DTLB Overhead	6.9
6	Load STLB Hit	6.5
6	Load STLB Miss	0.4
5	Loads Blocked by Store Forwarding	3.4
5	L1 Hit Latency	7.7
5	Lock Latency	0.0
5	Split Loads	1.1
5	FB Full	1.0
4	L2 Bound	1.5
4	L3 Bound	2.0
5	L3 Latency	1.9
5	SQ Full	0.4
4	DRAM Bound	0.0
5	Memory Bandwidth	3.0
6	MBA Stalls	0.0
5	Memory Latency	6.8
6	Local Memory	0.0
6	Remote Memory	0.0
6	Remote Cache	0.0
4	Store Bound	1.4
5	Store Latency	4.2
5	Split Stores	0.2
5	DTLB Store Overhead	33.5
6	Store STLB Hit	33.0
6	Store STLB Miss	0.6
3	Core Bound	12.4
4	Divider	0.7
4	Serializing Operations	2.3
5	Slow Pause	0.7
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	AMX Busy	4.2
4	Port Utilization	8.7
5	Cycles of 0 Ports Utilized	0.2
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	8.5
5	Cycles of 2 Ports Utilized	7.9
5	Cycles of 3+ Ports Utilized	15.4
6	ALU Operation Utilization	30.4
7	Port 0	34.1
7	Port 1	26.6
7	Port 6	35.4
6	Load Operation Utilization	28.4
6	Store Operation Utilization	21.2
5	Vector Capacity Usage (FPU)	100.0
1	Average CPU Frequency	6314760334.381776
1	Total Thread Count	19
1	Paused Time	0.0
0	Effective Physical Core Utilization	38.6% (1.543 out of 4)
1	Effective Logical Core Utilization	63.7% (5.093 out of 8)
0	Collection and Platform Info	
1	Application Command Line	/root/openvino_cpp_samples_build/intel64/Release/classification_sample_async "-i" "/tmp/traffic.mp4" "-m" "/root/env_config/googlenet-v1/FP32/googlenet-v1.xml" "-d" "CPU" 
1	Operating System	5.15.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.4 LTS"
1	Computer Name	iZ0jl5vi76jqrlebab6kdlZ
1	Result Size	72926376
1	Collection start time	14:02:01 30/09/2024 UTC
1	Collection stop time	14:02:18 30/09/2024 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Emeraldrapids
2	Frequency	2799999945
2	Logical CPU Count	8
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
